"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2008","941.0","962.0","970.0","936.0","5.34K","-2.74%"
"05/28/2008","967.5","984.0","991.5","950.0","5.35K","-2.52%"
"05/27/2008","992.5","1,018.5","1,029.0","980.0","6.67K","-2.22%"
"05/26/2008","1,015.0","1,036.0","1,041.5","991.5","2.24K","-2.22%"
"05/24/2008","1,038.0","1,038.5","1,042.0","1,031.0","0.16K","-0.43%"
"05/23/2008","1,042.5","1,000.0","1,060.0","956.0","10.67K","3.53%"
"05/22/2008","1,007.0","1,073.0","1,082.0","1,006.5","5.54K","-5.93%"
"05/21/2008","1,070.5","1,114.0","1,114.0","1,060.0","4.55K","-3.69%"
"05/20/2008","1,111.5","1,110.0","1,116.0","1,095.5","3.02K","0.23%"
"05/19/2008","1,109.0","1,120.0","1,120.0","1,106.0","1.60K","-1.60%"
"05/17/2008","1,127.0","1,127.0","1,131.0","1,115.0","0.68K","0.13%"
"05/16/2008","1,125.5","1,127.0","1,134.0","1,117.0","3.19K","0.18%"
